Escuela_ID;CURSO_NORMALIZADO;División;DESEMPEÑO;Alumno_ID
392;3°;B;Crítico;6
392;3°;B;Medio;3
392;3°;C;Avanzado;1
392;3°;C;Básico;13
392;3°;C;Crítico;11
392;3°;C;Medio;4
392;4°;A;Avanzado;8
392;4°;A;Básico;7
392;4°;A;Crítico;7
392;4°;A;Medio;9
392;4°;B;Avanzado;8
392;4°;B;Básico;3
392;4°;B;Crítico;6
392;4°;B;Medio;8
392;4°;C;Avanzado;5
392;4°;C;Básico;7
392;4°;C;Crítico;5
392;4°;C;Medio;9
392;5°;A;Crítico;30
392;5°;B;Crítico;32
392;5°;C;Básico;6
392;5°;C;Crítico;15
392;5°;C;Medio;6
392;6°;A;Avanzado;10
392;6°;A;Crítico;5
392;6°;A;Medio;14
392;6°;B;Avanzado;6
392;6°;B;Básico;5
392;6°;B;Crítico;3
392;6°;B;Medio;13
392;6°;C;Avanzado;1
392;6°;C;Básico;5
392;6°;C;Crítico;6
392;6°;C;Medio;17
392;7°;A;Avanzado;7
392;7°;A;Básico;3
392;7°;A;Crítico;5
392;7°;A;Medio;15
392;7°;B;Avanzado;11
392;7°;B;Básico;2
392;7°;B;Crítico;1
392;7°;B;Medio;9
392;7°;C;Avanzado;9
392;7°;C;Básico;3
392;7°;C;Crítico;4
392;7°;C;Medio;12
393;2°;A;Avanzado;6
393;2°;A;Básico;8
393;2°;A;Crítico;4
393;2°;A;Medio;2
393;2°;B;Avanzado;1
393;2°;B;Básico;6
393;2°;B;Crítico;7
393;2°;B;Medio;5
393;2°;C;Avanzado;2
393;2°;C;Básico;8
393;2°;C;Crítico;8
393;2°;C;Medio;3
393;3°;A;Avanzado;9
393;3°;A;Básico;9
393;3°;A;Crítico;4
393;3°;A;Medio;4
393;3°;B;Avanzado;5
393;3°;B;Básico;5
393;3°;B;Crítico;9
393;3°;B;Medio;4
393;4°;A;Avanzado;8
393;4°;A;Básico;6
393;4°;A;Crítico;1
393;4°;A;Medio;8
393;4°;B;Avanzado;7
393;4°;B;Básico;5
393;4°;B;Crítico;3
393;4°;B;Medio;8
393;5°;A;Avanzado;6
393;5°;A;Básico;6
393;5°;A;Crítico;4
393;5°;A;Medio;11
393;5°;B;Avanzado;1
393;5°;B;Básico;6
393;5°;B;Crítico;4
393;5°;B;Medio;3
393;5°;C;Básico;5
393;5°;C;Medio;8
393;6°;A;Avanzado;13
393;6°;A;Básico;2
393;6°;A;Medio;5
393;6°;B;Avanzado;4
393;6°;B;Crítico;2
393;6°;B;Medio;10
393;6°;C;Avanzado;12
393;6°;C;Básico;1
393;6°;C;Crítico;1
393;6°;C;Medio;9
393;7°;A;Avanzado;4
393;7°;A;Básico;3
393;7°;A;Crítico;4
393;7°;A;Medio;15
